hash_module_type,buffer_type,scheduler_type,num_ports,global_voq_size,shared_memory_size,axis_data_width,clock_frequency_mhz,queue_depth_log,hash_lut,hash_ff,hash_bram,rx_lut,rx_ff,rx_bram,sched_lut,sched_ff,sched_bram,buffer_bram,total_lut,total_ff,total_bram,buffer_memory_bytes,packets_received,packets_transmitted,packets_dropped,total_cycles,avg_latency_ns,max_latency_ns,throughput_gbps,voq_overflow,shared_mem_overflow,drop_rate,rx_utilization,hash_utilization,scheduler_utilization,line_rate_achieved_ratio,phase,per_port_voq_sizes,original_total_memory,optimized_total_memory,bram_saving_pct,performance_degradation_pct
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,512,256,250.0,6,3850,2714,0,268,2677,64,33175,33342,90,8,37293,38733,162,512,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,512,512,250.0,6,6417,4524,0,447,4463,64,55293,55571,150,16,62157,64558,230,512,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,512,640,250.0,6,4812,3393,0,335,3347,64,41469,41678,112,20,46616,48418,196,512,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,1024,256,250.0,7,3850,2714,0,268,2677,64,33175,33342,90,8,37293,38733,162,1024,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,1024,512,250.0,7,6417,4524,0,447,4463,64,55293,55571,150,16,62157,64558,230,1024,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,1024,640,250.0,7,4812,3393,0,335,3347,64,41469,41678,112,20,46616,48418,196,1024,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,2048,256,250.0,8,3850,2714,0,268,2677,64,33175,33342,90,8,37293,38733,162,2048,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,2048,512,250.0,8,6417,4524,0,447,4463,64,55293,55571,150,16,62157,64558,230,2048,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,2048,640,250.0,8,4812,3393,0,335,3347,64,41469,41678,112,20,46616,48418,196,2048,998,998,0,13442,21828.01008016033,0.0,9.49945380222807,False,False,0.0,0.051675717899122155,0.4454694241928284,0.7775628626692457,0.0,1,,0,0,0.0,0.0
FullLookupTable,OneBufferPerPort,iSLIP,8,-1,4096,256,250.0,9,3850,2714,0,268,2677,64,33175,33342,90,8,37293,38733,162,4096,998,998,0,13574,22043.044148296605,0.0,9.40711410058242,False,False,0.0,0.06036356269338441,0.5146603801385001,0.7806099896861647,0.0,1,,0,0,0.0,0.0
